"Date","PM2.5 AQI Value","AQI Category","Site Name","Site ID","Source"
"02/15/2020","36","Good","","49-035-4002","AQS"
"02/16/2020","44","Good","","49-035-4002","AQS"
"02/17/2020","16","Good","","49-035-3013","AQS"
"02/18/2020","29","Good","ROSE PARK","49-035-3010","AQS"
"02/19/2020","35","Good","ROSE PARK","49-035-3010","AQS"
"02/20/2020","43","Good","","49-035-4002","AQS"
"02/21/2020","66","Moderate","","49-035-4002","AQS"
"02/22/2020","68","Moderate","","49-035-4002","AQS"
"02/23/2020","38","Good","","49-035-4002","AQS"
"02/24/2020","11","Good","Hawthorne","49-035-3006","AQS"
"02/25/2020","21","Good","","49-035-2005","AQS"
"02/26/2020","38","Good","","49-035-4002","AQS"
"02/27/2020","51","Moderate","","49-035-4002","AQS"
"02/28/2020","38","Good","ROSE PARK","49-035-3010","AQS"
"02/29/2020","18","Good","","49-035-4002","AQS"
"03/01/2020","18","Good","Hawthorne","49-035-3006","AQS"
"03/02/2020","22","Good","ROSE PARK","49-035-3010","AQS"
"03/03/2020","36","Good","","49-035-4002","AQS"
"03/04/2020","37","Good","","49-035-4002","AQS"
"03/05/2020","25","Good","","49-035-4002","AQS"
"03/06/2020","21","Good","","49-035-4002","AQS"
"03/07/2020","43","Good","","49-035-3013","AQS"
"03/08/2020","21","Good","","49-035-4002","AQS"
"03/09/2020","19","Good","Hawthorne","49-035-3006","AQS"
"03/10/2020","24","Good","","49-035-4002","AQS"
"03/11/2020","27","Good","","49-035-4002","AQS"
"03/12/2020","27","Good","Hawthorne","49-035-3006","AQS"
"03/13/2020","30","Good","","49-035-4002","AQS"
"03/14/2020","14","Good","","49-035-2005","AQS"
"03/15/2020","14","Good","","49-035-2005","AQS"
"03/16/2020","20","Good","ROSE PARK","49-035-3010","AQS"
"03/17/2020","20","Good","","49-035-2005","AQS"
"03/18/2020","19","Good","Hawthorne","49-035-3006","AQS"
"03/19/2020","25","Good","","49-035-4002","AQS"
"03/20/2020","13","Good","Hawthorne","49-035-3006","AQS"
"03/21/2020","20","Good","ROSE PARK","49-035-3010","AQS"
"03/22/2020","20","Good","","49-035-4002","AQS"
"03/23/2020","16","Good","","49-035-4002","AQS"
"03/24/2020","8","Good","Hawthorne","49-035-3006","AQS"
"03/25/2020","18","Good","","49-035-4002","AQS"
"03/26/2020","14","Good","ROSE PARK","49-035-3010","AQS"
"03/27/2020","23","Good","ROSE PARK","49-035-3010","AQS"
"03/28/2020","28","Good","","49-035-4002","AQS"
"03/29/2020","21","Good","","49-035-4002","AQS"
"03/30/2020","22","Good","ROSE PARK","49-035-3010","AQS"
"03/31/2020","25","Good","","49-035-3015","AQS"
"04/01/2020","15","Good","Hawthorne","49-035-3006","AQS"
"04/02/2020","13","Good","","49-035-3013","AQS"
"04/03/2020","21","Good","","49-035-4002","AQS"
"04/04/2020","37","Good","","49-035-4002","AQS"
"04/05/2020","25","Good","","49-035-3013","AQS"
"04/06/2020","23","Good","","49-035-4002","AQS"
"04/07/2020","25","Good","ROSE PARK","49-035-3010","AQS"
"04/08/2020","34","Good","ROSE PARK","49-035-3010","AQS"
"04/09/2020","32","Good","ROSE PARK","49-035-3010","AQS"
"04/10/2020","25","Good","","49-035-4002","AQS"
