"Date","PM2.5 AQI Value","AQI Category","Site Name","Site ID","Source"
"06/18/2020","11","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"06/19/2020","14","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"06/20/2020","11","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"06/21/2020","8","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"06/22/2020","10","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"06/23/2020","11","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"06/24/2020","11","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"06/25/2020","13","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"06/26/2020","13","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"06/27/2020","10","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"06/28/2020","9","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"06/29/2020","8","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"06/30/2020","10","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"07/01/2020","6","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"07/02/2020","9","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"07/03/2020","32","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"07/04/2020","36","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"07/05/2020","27","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"07/06/2020","25","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"07/07/2020","13","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"07/08/2020","10","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"07/09/2020","14","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"07/10/2020","13","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"07/11/2020","16","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"07/12/2020","10","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"07/13/2020","10","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"07/14/2020","13","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"07/15/2020","14","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"07/16/2020","12","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"07/17/2020","12","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"07/18/2020","13","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"07/19/2020","15","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"07/20/2020","13","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"07/21/2020","19","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"07/22/2020","17","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"07/23/2020","10","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"07/24/2020","11","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"07/25/2020","13","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"07/26/2020","11","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"07/27/2020","18","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"07/28/2020","33","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"07/29/2020","26","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"07/30/2020","37","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"07/31/2020","40","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"08/01/2020","28","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"08/02/2020","18","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"08/03/2020","22","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"08/04/2020","33","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"08/05/2020","32","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"08/06/2020","20","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"08/07/2020","11","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"08/08/2020","12","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"08/09/2020","10","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"08/10/2020","16","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"08/11/2020","22","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"08/12/2020","20","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"08/13/2020","37","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"08/14/2020","34","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"08/15/2020","24","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"08/16/2020","26","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"08/17/2020","31","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"08/18/2020","27","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"08/19/2020","14","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"08/20/2020","15","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"08/21/2020","18","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"08/22/2020","7","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"08/23/2020","28","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"08/24/2020","30","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"08/25/2020","20","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"08/26/2020","17","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"08/27/2020","20","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"08/28/2020","19","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"08/29/2020","18","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"08/30/2020","9","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"08/31/2020","8","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"09/01/2020","20","Good","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"09/02/2020","8","Good","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"09/03/2020","10","Good","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"09/04/2020","25","Good","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"09/05/2020","47","Good","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"09/06/2020","24","Good","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"09/07/2020","40","Good","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"09/08/2020","48","Good","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"09/09/2020","37","Good","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"09/10/2020","46","Good","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"09/11/2020","168","Unhealthy","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"09/12/2020","241","Very Unhealthy","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"09/13/2020","236","Very Unhealthy","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"09/14/2020","197","Unhealthy","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"09/15/2020","186","Unhealthy","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"09/16/2020","171","Unhealthy","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"09/17/2020","164","Unhealthy","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"09/18/2020","166","Unhealthy","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"09/19/2020","54","Moderate","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"09/20/2020","18","Good","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"09/21/2020","38","Good","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"09/22/2020","47","Good","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"09/23/2020","53","Moderate","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"09/24/2020","10","Good","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"09/25/2020","13","Good","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"09/26/2020","6","Good","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"09/27/2020","5","Good","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"09/28/2020","8","Good","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"09/29/2020","13","Good","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"09/30/2020","20","Good","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"10/01/2020","23","Good","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"10/02/2020","28","Good","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"10/03/2020","37","Good","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"10/04/2020","35","Good","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"10/05/2020","37","Good","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"10/06/2020","30","Good","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"10/07/2020","28","Good","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"10/08/2020","44","Good","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"10/09/2020","19","Good","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"10/10/2020","21","Good","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"10/11/2020","7","Good","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"10/12/2020","8","Good","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"10/13/2020","10","Good","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"10/14/2020","7","Good","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"10/15/2020","9","Good","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"10/16/2020","8","Good","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"10/17/2020","10","Good","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"10/18/2020","13","Good","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"10/19/2020","4","Good","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"10/20/2020","8","Good","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"10/21/2020","14","Good","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"10/22/2020","29","Good","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"10/23/2020","34","Good","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"10/24/2020","23","Good","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"10/25/2020","30","Good","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"10/26/2020","26","Good","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"10/27/2020","35","Good","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"10/28/2020","31","Good","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"10/29/2020","28","Good","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"10/30/2020","21","Good","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"10/31/2020","16","Good","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"11/01/2020","35","Good","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"11/02/2020","37","Good","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"11/03/2020","38","Good","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"11/04/2020","13","Good","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"11/05/2020","9","Good","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"11/06/2020","16","Good","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"11/07/2020","22","Good","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"11/08/2020","15","Good","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"11/09/2020","18","Good","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"11/10/2020","20","Good","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"11/11/2020","25","Good","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"11/12/2020","19","Good","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"11/13/2020","11","Good","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"11/14/2020","8","Good","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"11/15/2020","9","Good","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"11/16/2020","15","Good","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"11/17/2020","16","Good","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"11/18/2020","9","Good","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"11/19/2020","8","Good","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"11/20/2020","15","Good","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"11/21/2020","24","Good","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"11/22/2020","26","Good","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"11/23/2020","33","Good","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"11/24/2020","25","Good","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"11/25/2020","23","Good","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"11/26/2020","14","Good","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"11/27/2020","13","Good","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"11/28/2020","20","Good","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"11/29/2020","16","Good","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"11/30/2020","13","Good","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"12/01/2020","18","Good","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"12/02/2020","38","Good","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"12/03/2020","30","Good","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"12/04/2020","33","Good","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"12/05/2020","33","Good","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"12/06/2020","24","Good","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"12/07/2020","33","Good","RITZVILLE - ALDER ST","53-001-0003","AirNow"
"12/08/2020","23","Good","RITZVILLE - ALDER ST","53-001-0003","AirNow"
